iter	Passed	Remaining
428	756	1007
429	758	1004
430	759	1003
431	761	1001
432	762	998
433	763	996
434	764	993
435	766	990
436	767	988
437	768	985
438	769	983
439	770	980
440	771	978
441	773	976
442	775	974
443	776	972
444	777	969
445	778	967
446	779	964
447	780	962
448	782	959
449	783	957
450	784	954
451	786	953
452	788	951
453	790	950
454	791	947
455	792	945
456	793	943
457	794	940
458	796	938
459	797	936
460	798	933
461	799	931
462	801	929
463	802	926
464	803	924
465	805	922
466	806	920
467	807	918
468	808	915
469	810	913
470	811	911
471	812	908
472	813	906
473	815	904
474	816	902
475	818	900
476	819	898
477	821	896
478	822	894
479	824	892
480	825	890
481	826	888
482	827	886
483	829	883
484	830	881
485	832	880
486	833	878
487	834	875
488	836	873
489	837	871
490	838	869
491	839	866
492	840	864
493	841	862
494	843	860
495	844	857
496	845	856
497	847	854
498	849	852
499	850	850
500	851	848
501	852	845
502	853	843
503	854	841
504	856	839
505	857	836
506	881	856
507	882	854
508	883	852
509	885	850
510	886	848
511	887	845
512	888	843
513	890	841
514	891	839
515	893	838
516	895	836
517	896	834
518	897	832
519	899	829
520	900	827
521	901	825
522	902	823
523	904	821
524	906	819
525	907	818
526	909	816
527	911	814
528	913	813
529	915	812
530	918	811
531	920	810
532	922	808
533	924	806
534	926	805
535	928	803
536	930	801
537	931	800
538	933	798
539	935	796
540	937	795
541	938	793
542	939	790
543	941	789
544	942	787
545	944	785
546	946	783
547	947	781
548	949	779
549	951	778
550	953	776
551	954	774
552	956	773
553	957	771
554	959	769
555	961	767
556	963	766
557	965	764
558	966	762
559	968	760
560	969	758
561	971	756
562	972	755
563	974	753
564	975	751
565	977	749
566	979	748
567	981	746
568	982	744
569	984	742
570	986	741
571	987	739
572	989	737
573	990	734
574	991	733
575	993	731
576	994	729
577	996	727
578	997	725
579	998	722
580	999	720
581	1000	718
582	1002	716
583	1003	714
584	1004	712
585	1006	710
586	1007	709
587	1009	707
588	1010	705
589	1012	703
590	1014	701
591	1015	699
592	1016	697
593	1018	695
594	1019	693
595	1021	692
596	1023	690
597	1024	688
598	1026	686
599	1027	684
600	1028	682
601	1029	680
602	1030	678
603	1031	676
604	1033	674
605	1034	672
606	1036	671
607	1037	669
608	1039	667
609	1040	665
610	1041	663
611	1042	661
612	1043	659
613	1044	656
614	1046	654
615	1047	652
616	1048	651
617	1050	649
618	1052	647
619	1053	645
620	1054	643
621	1055	641
622	1056	639
623	1058	637
624	1059	635
625	1060	633
626	1062	632
627	1064	630
628	1066	629
629	1067	627
630	1069	625
631	1070	623
632	1071	621
633	1072	619
634	1073	617
635	1075	615
636	1077	614
637	1079	612
638	1081	611
639	1083	609
640	1085	608
641	1087	606
642	1088	604
643	1090	602
644	1091	600
645	1093	599
646	1094	597
647	1095	595
648	1097	593
649	1098	591
650	1100	589
651	1101	588
652	1103	586
653	1104	584
654	1106	582
655	1108	581
656	1109	579
657	1110	577
658	1112	575
659	1113	573
660	1114	571
661	1115	569
662	1117	567
663	1118	565
664	1119	564
665	1121	562
666	1122	560
667	1124	558
668	1125	556
669	1126	554
670	1127	552
671	1128	550
672	1129	549
673	1131	547
674	1132	545
675	1133	543
676	1136	542
677	1137	540
678	1138	538
679	1140	536
680	1141	534
681	1142	532
682	1143	530
683	1145	529
684	1146	527
685	1147	525
686	1148	523
687	1150	521
688	1152	520
689	1153	518
690	1154	516
691	1155	514
692	1156	512
693	1158	510
694	1159	508
695	1160	507
696	1161	505
697	1163	503
698	1165	501
699	1166	500
700	1168	498
701	1169	496
702	1170	494
703	1172	493
704	1174	491
705	1176	489
706	1177	488
707	1179	486
708	1181	484
709	1182	482
710	1183	481
711	1185	479
712	1187	477
713	1188	476
714	1189	474
715	1191	472
716	1193	471
717	1194	469
718	1196	467
719	1197	465
720	1199	464
721	1201	462
722	1202	460
723	1203	458
724	1205	457
725	1206	455
726	1208	453
727	1209	452
728	1211	450
729	1213	448
730	1214	446
731	1216	445
732	1218	443
733	1219	442
734	1221	440
735	1223	438
736	1225	437
737	1227	435
738	1229	434
739	1230	432
740	1232	430
741	1234	429
742	1236	427
743	1237	425
744	1239	424
745	1242	422
746	1244	421
747	1245	419
748	1247	418
749	1249	416
750	1250	414
751	1252	413
752	1253	411
753	1255	409
754	1256	407
755	1259	406
756	1260	404
757	1262	403
758	1264	401
759	1266	399
760	1267	398
761	1269	396
762	1271	394
763	1272	393
764	1274	391
765	1276	389
766	1278	388
767	1279	386
768	1281	384
769	1282	383
770	1283	381
771	1284	379
772	1286	377
773	1288	376
774	1290	374
775	1291	372
776	1293	371
777	1295	369
778	1296	367
779	1298	366
780	1299	364
781	1301	362
782	1302	361
783	1304	359
784	1306	357
785	1308	356
786	1309	354
787	1311	352
788	1312	350
789	1313	349
790	1314	347
791	1315	345
792	1316	343
793	1318	342
794	1319	340
795	1321	338
796	1322	336
797	1323	335
798	1325	333
799	1326	331
800	1327	329
801	1328	328
802	1330	326
803	1331	324
804	1332	322
805	1334	321
806	1335	319
807	1336	317
808	1337	315
809	1338	314
810	1340	312
811	1341	310
812	1342	308
813	1343	307
814	1344	305
815	1345	303
816	1347	301
817	1348	300
818	1350	298
819	1351	296
820	1352	294
821	1353	293
822	1354	291
823	1355	289
824	1356	287
825	1357	286
826	1359	284
827	1360	282
828	1362	280
829	1363	279
830	1364	277
831	1365	275
832	1366	274
833	1367	272
834	1368	270
835	1369	268
836	1371	267
837	1372	265
838	1373	263
839	1374	261
840	1375	260
841	1377	258
842	1378	256
843	1379	254
844	1380	253
845	1381	251
846	1382	249
847	1383	248
848	1385	246
849	1386	244
850	1387	242
851	1388	241
852	1390	239
853	1391	237
854	1392	236
855	1394	234
856	1395	232
857	1396	231
858	1398	229
859	1399	227
860	1400	226
861	1401	224
862	1403	222
863	1404	221
864	1406	219
865	1407	217
866	1408	216
867	1409	214
868	1411	212
869	1412	211
870	1413	209
871	1414	207
872	1417	206
873	1418	204
874	1420	202
875	1422	201
876	1423	199
877	1424	198
878	1426	196
879	1428	194
880	1429	193
881	1430	191
882	1431	189
883	1432	188
884	1434	186
885	1435	184
886	1437	183
887	1438	181
888	1439	179
889	1441	178
890	1442	176
891	1444	174
892	1445	173
893	1446	171
894	1448	169
895	1449	168
896	1450	166
897	1451	164
898	1453	163
899	1454	161
900	1456	159
901	1457	158
902	1458	156
903	1459	154
904	1460	153
905	1462	151
906	1464	150
907	1465	148
908	1466	146
909	1468	145
910	1469	143
911	1470	141
912	1471	140
913	1472	138
914	1474	136
915	1475	135
916	1477	133
917	1478	132
918	1479	130
919	1481	128
920	1482	127
921	1483	125
922	1485	123
923	1486	122
924	1487	120
925	1488	118
926	1490	117
927	1492	115
928	1493	114
929	1494	112
930	1495	110
931	1497	109
932	1498	107
933	1499	105
934	1500	104
935	1501	102
936	1502	101
937	1504	99
938	1505	97
939	1506	96
940	1508	94
941	1509	92
942	1510	91
943	1512	89
944	1513	88
945	1514	86
946	1515	84
947	1516	83
948	1517	81
949	1519	79
950	1520	78
951	1521	76
952	1523	75
953	1524	73
954	1525	71
955	1527	70
956	1528	68
957	1530	67
958	1531	65
959	1532	63
960	1533	62
961	1535	60
962	1536	59
963	1537	57
964	1539	55
965	1540	54
966	1541	52
967	1542	51
968	1543	49
969	1544	47
970	1546	46
971	1547	44
972	1549	42
973	1550	41
974	1552	39
975	1553	38
976	1555	36
977	1556	35
978	1557	33
979	1559	31
980	1560	30
981	1562	28
982	1563	27
983	1565	25
984	1566	23
985	1567	22
986	1568	20
987	1570	19
988	1571	17
989	1572	15
990	1573	14
991	1574	12
992	1576	11
993	1577	9
994	1579	7
995	1580	6
996	1582	4
997	1583	3
998	1584	1
999	1585	0
